source,target,coupling_id,sign,magnitude,grade,causal,J_30,J_80,prior_width,timescale,status,decomposed,key_mediator
I,M,J_I_M,1,strong,A,C3,0.08,0.15,1.0,fast,mechanistic_validated,True,TNF
I,E,J_I_E,1,moderate,B,C1,0.04,0.08,0,,r6_only,False,
I,mito,J_I_mito,1,moderate,A,C3,0.04,0.08,2.0,fast,mechanistic_validated,True,TNF
I,P,J_I_P,1,moderate,B,C1,0.04,0.08,0,,r6_only,False,
I,C,J_I_C,1,moderate,B,C1,0.04,0.08,0,,r6_only,False,
I,N,J_I_N,1,moderate,B,C1,0.04,0.08,0,,r6_only,False,
I,F,J_I_F,1,moderate,B,C1,0.04,0.08,0,,r6_only,False,
I,B,J_I_B,1,moderate,A,C2,0.04,0.08,2.0,slow,mechanistic_validated,True,TNF
M,I,J_M_I,1,strong,A,C3,0.08,0.15,1.0,fast,mechanistic_validated,True,INSR
M,E,J_M_E,0,none,,,0,0,0,,unpopulated,False,
M,mito,J_M_mito,1,moderate,B,C1,0.04,0.08,0,,r6_only,False,
M,P,J_M_P,0,none,,,0,0,0,,unpopulated,False,
M,C,J_M_C,0,none,,,0,0,0,,unpopulated,False,
M,N,J_M_N,0,none,,,0,0,0,,unpopulated,False,
M,F,J_M_F,0,none,,,0,0,0,,unpopulated,False,
M,B,J_M_B,1,moderate,A,C2,0.04,0.08,3.0,slow,mechanistic_validated,True,INSR
E,I,J_E_I,1,weak,B,C1,0.01,0.03,0,,r6_only,False,
E,M,J_E_M,0,none,,,0,0,0,,unpopulated,False,
E,mito,J_E_mito,1,weak,B,C2,0.01,0.03,2.0,slow,mechanistic_validated,False,
E,P,J_E_P,0,none,,,0,0,0,,unpopulated,False,
E,C,J_E_C,0,none,,,0,0,0,,unpopulated,False,
E,N,J_E_N,0,none,,,0,0,0,,unpopulated,False,
E,F,J_E_F,0,none,,,0,0,0,,unpopulated,False,
E,B,J_E_B,0,none,,,0,0,0,,unpopulated,False,
mito,I,J_mito_I,1,moderate,A,C2,0.04,0.08,2.5,fast,mechanistic_validated,True,PPIF
mito,M,J_mito_M,1,moderate,B,C1,0.04,0.08,0,,r6_only,False,
mito,E,J_mito_E,1,weak,B,C2,0.01,0.03,2.5,slow,mechanistic_validated,True,MT-ND1
mito,P,J_mito_P,1,moderate,B,C1,0.04,0.08,0,,r6_only,False,
mito,C,J_mito_C,0,none,,,0,0,0,,unpopulated,False,
mito,N,J_mito_N,0,none,,,0,0,0,,unpopulated,False,
mito,F,J_mito_F,0,none,,,0,0,0,,unpopulated,False,
mito,B,J_mito_B,0,excluded,,,0,0,0,,excluded,False,
P,I,J_P_I,1,moderate,B,C1,0.04,0.08,0,,r6_only,False,
P,M,J_P_M,0,none,,,0,0,0,,unpopulated,False,
P,E,J_P_E,-1,weak,B,C1,-0.01,-0.03,0,,r6_only,False,
P,mito,J_P_mito,1,moderate,B,C2,0.04,0.08,2.0,medium,mechanistic_validated,True,UBB
P,C,J_P_C,0,none,,,0,0,0,,unpopulated,False,
P,N,J_P_N,0,none,,,0,0,0,,unpopulated,False,
P,F,J_P_F,0,none,,,0,0,0,,unpopulated,False,
P,B,J_P_B,0,none,,,0,0,0,,unpopulated,False,
C,I,J_C_I,1,moderate,B,C2,0.04,0.08,3.75,fast,mechanistic_validated,True,ARNTL
C,M,J_C_M,1,moderate,B,C3,0.04,0.08,1.5,medium,mechanistic_validated,True,ARNTL
C,E,J_C_E,-1,weak,B,C1,-0.01,-0.03,0,,r6_only,False,
C,mito,J_C_mito,0,none,,,0,0,0,,unpopulated,False,
C,P,J_C_P,0,none,,,0,0,0,,unpopulated,False,
C,N,J_C_N,1,weak,B,C1,0.01,0.03,0,,r6_only,False,
C,F,J_C_F,0,none,,,0,0,0,,unpopulated,False,
C,B,J_C_B,0,none,,,0,0,0,,unpopulated,False,
N,I,J_N_I,1,moderate,B,C3,0.04,0.08,2.5,fast,mechanistic_validated,True,CRH
N,M,J_N_M,1,moderate,B,C1,0.04,0.08,0,,r6_only,False,
N,E,J_N_E,0,none,,,0,0,0,,unpopulated,False,
N,mito,J_N_mito,0,none,,,0,0,0,,unpopulated,False,
N,P,J_N_P,0,none,,,0,0,0,,unpopulated,False,
N,C,J_N_C,-1,weak,B,C1,-0.01,-0.03,0,,r6_only,False,
N,F,J_N_F,1,moderate,B,C1,0.04,0.08,0,,r6_only,False,
N,B,J_N_B,1,strong,B,C3,0.08,0.15,1.5,slow,mechanistic_validated,True,PTH
F,I,J_F_I,1,moderate,B,C2,0.04,0.08,2.5,medium,mechanistic_validated,True,IL15
F,M,J_F_M,1,strong,B,C3,0.08,0.15,1.0,medium,mechanistic_validated,True,PRKAA2
F,E,J_F_E,-1,moderate,B,C2,-0.04,-0.08,2.0,medium,r6_bridged_protective,True,PRKAA2
F,mito,J_F_mito,-1,strong,A,C3,-0.08,-0.15,2.0,medium,r6_bridged_protective,True,PRKAA2
F,P,J_F_P,-1,moderate,B,C2,-0.04,-0.08,2.0,medium,r6_bridged_protective,True,PRKAA2
F,C,J_F_C,-1,moderate,B,C2,-0.04,-0.08,2.0,medium,r6_bridged_protective,True,PRKAA2
F,N,J_F_N,-1,moderate,B,C3,-0.04,-0.08,2.0,medium,r6_bridged_protective,True,vagal_tone
F,B,J_F_B,-1,strong,A,C3,-0.08,-0.15,2.0,medium,r6_bridged_protective,True,PIEZO1
B,I,J_B_I,1,weak,B,C2,0.01,0.03,2.0,very_slow,mechanistic_validated,True,TNFSF11
B,M,J_B_M,0,excluded,,,0,0,0,,excluded,False,
B,E,J_B_E,0,none,,,0,0,0,,unpopulated,False,
B,mito,J_B_mito,0,none,,,0,0,0,,unpopulated,False,
B,P,J_B_P,0,none,,,0,0,0,,unpopulated,False,
B,C,J_B_C,0,none,,,0,0,0,,unpopulated,False,
B,N,J_B_N,0,excluded,,,0,0,0,,excluded,False,
B,F,J_B_F,1,weak,A,C1,0.01,0.03,3.0,very_slow,mechanistic_validated,False,
