subgroup,from_axis,to_axis,pair,beta,ci_lower,ci_upper,p_value,n_pairs,n_subjects,j_sign,predicted_sign,observed_sign,concordant,p_fdr,fdr_reject
full,M,I,M->I,0.027600037094412076,0.013520929095793052,0.04189540408627934,0.00010118896775338843,10849,6245,1,1,1,True,0.0003035669032601653,True
full,I,M,I->M,0.06457858592335348,0.05068322452844278,0.07860794273199657,3.2296175132774055e-20,10849,6245,1,1,1,True,1.9377705079664434e-19,True
full,F,I,F->I,0.02505856086590736,0.009245122273756453,0.040945433494973316,0.0022811817343620622,10849,6245,-1,1,1,True,0.0045623634687241245,True
full,I,F,I->F,0.013726892806553962,0.004399285843202291,0.023147024020120355,0.004177415512792835,10849,6245,1,1,1,True,0.0062661232691892535,True
full,F,M,F->M,-0.014022751075096328,-0.028200251365297843,-0.0001664738191101079,0.04258825704812714,10849,6245,-1,1,-1,False,0.051105908457752564,False
full,M,F,M->F,0.007365294452486111,0.0002063253262476551,0.014672186344461517,0.07098150326506399,10849,6245,1,1,1,True,0.07098150326506399,False
med_naive,M,I,M->I,0.05404701597748721,0.030409470817240786,0.07901860722620661,4.969906083418425e-06,6833,4116,1,1,1,True,,
med_naive,I,M,I->M,0.0743725667237507,0.059713769135424796,0.0887965092606721,1.8425771211140783e-24,6833,4116,1,1,1,True,,
med_naive,F,I,F->I,0.02952013012698386,0.010335842127114499,0.049029078834845696,0.003975941567340967,6833,4116,-1,1,1,True,,
med_naive,I,F,I->F,0.010477407791498944,-0.0012084200413905724,0.022365607462833868,0.07976169850503512,6833,4116,1,1,1,True,,
med_naive,F,M,F->M,-0.008228047991930875,-0.023715064606760924,0.00683585288824173,0.24318560280271373,6833,4116,-1,1,-1,False,,
med_naive,M,F,M->F,0.005657801675446836,-0.007278753701968649,0.01857660967969136,0.395635844578655,6833,4116,1,1,1,True,,
age_70plus,M,I,M->I,0.00609867877670177,-0.024819336396161552,0.03808641568406826,0.705805337992733,2855,1982,1,1,1,True,,
age_70plus,I,M,I->M,0.0591107889895925,0.03450281650484605,0.08487383651326497,4.294395154793984e-06,2855,1982,1,1,1,True,,
age_70plus,F,I,F->I,0.02176913445962972,-0.01598675134877667,0.06046514021842083,0.26628480556719875,2855,1982,-1,1,1,True,,
age_70plus,I,F,I->F,-0.004905057185951549,-0.022579059406848397,0.01287735272534793,0.5806820367717034,2855,1982,1,1,-1,False,,
age_70plus,F,M,F->M,-0.02206422269782286,-0.0488426805617273,0.004988783389159149,0.12521341625590926,2855,1982,-1,1,-1,False,,
age_70plus,M,F,M->F,0.009288795964336762,-0.004672845703227664,0.023154542037097197,0.2563105053368084,2855,1982,1,1,1,True,,
