from_axis,to_axis,pair,beta,ci_lower,ci_upper,p_value,n,predicted_sign,observed_sign,concordant
M,I,M->I,0.002841204210629455,-0.035229851865019444,0.04055726562962985,0.8819953395850383,1523,1,1,True
I,M,I->M,0.03276197635509705,-0.0019156785827857785,0.06718898132351041,0.03085964402146447,1523,1,1,True
N,I,N->I,-0.0030356243978018962,-0.044069319595125445,0.03934312147897245,0.8877060482083171,1523,1,-1,False
I,N,I->N,-0.04267282991411731,-0.08061139715273,-0.00588467532870429,0.025580364432005738,1523,-1,-1,True
F,I,F->I,0.014328186877137225,0.003438396316525299,0.024852521662183737,0.00847203282109334,1523,1,1,True
I,F,I->F,0.06963091633656668,-0.10316178229950083,0.2339581577207525,0.38199177717968374,1523,1,1,True
N,M,N->M,0.01379146779564704,-0.023592481747959478,0.050842693442213205,0.41515957954484156,1523,1,1,True
M,N,M->N,0.0015702768484256342,-0.036007953866715514,0.04138381349969663,0.934076060923433,1523,-1,1,False
F,M,F->M,-0.0022385962977225903,-0.010436364365898,0.006081765842924884,0.6006673638707061,1523,1,-1,False
M,F,M->F,0.05965050183514325,-0.11243152720263436,0.2328937069728021,0.4490319103439004,1523,1,1,True
F,N,F->N,0.0005774935904564659,-0.010652663476960592,0.012163731524989235,0.9152522042492747,1523,1,1,True
N,F,N->F,0.06318436880007987,-0.10968698715156691,0.2405633110103773,0.4784851829149281,1523,1,1,True
